channelId,channelName,type,uploads,views,likes,comments,avg_views,er,shorts_ratio,median_views,p90_views,avg_subscribers
UCEJB2blgBHMZTrEwxWsF60Q,a postcard home,creator,1,13,3,0,13.00,0.230769,0.0000,13,13,17.00
UCienHmsU-lRj0b7SbWZxtdQ,끝없는 영희,creator,1,13,0,0,13.00,0.000000,0.0000,13,13,236.00
UCUUhiu1ufBHbgez4-Q5gKNg,모든지 따라 하는 사람,creator,1,13,1,0,13.00,0.076923,1.0000,13,13,23.00
UCTQLXviFUAVLEy49sZzrXdw,하루에욥,creator,1,12,3,0,12.00,0.250000,1.0000,12,12,7.00
UC6oFLelklO5hEbp2wMmEvEg,chav33ys,creator,2,12,0,2,6.00,0.166667,0.0000,6,8.4,61.00
UCopoCRB-jku9hRGjOvPB3-Q,곰돌이♡,creator,1,12,0,0,12.00,0.000000,1.0000,12,12,59.00
UCrA1MPfXTxGihqbGotNQl0w,두두리스트 dodolist,creator,1,11,4,0,11.00,0.363636,0.0000,11,11,17.00
UC7hOb4PbIpkl3ICWtBGC5RA,감성 멜로디,creator,1,11,0,0,11.00,0.000000,0.0000,11,11,839.00
UCnq8vdRSU1lQHz6oGtNdJ8w,얘랑쟤랑걔랑,creator,1,11,1,2,11.00,0.272727,0.0000,11,11,0.00
UC_Oo7Jk1lRFQaUd0l9SQ81w,오숀,creator,1,10,1,0,10.00,0.100000,0.0000,10,10,0.00
UCdhUbQOpx1IR8pOOxQ2k60g,공쥬👑,creator,2,10,2,0,5.00,0.200000,0.5000,5,7.4,6.00
UCESgJ20DKqQuStV8G6o38tg,채아튜브,creator,2,10,2,0,5.00,0.200000,0.5000,5,5.8,31.00
UCFDmJnv4Cdge5ZhBUr7BJrA,김미새 Kim mi sae,creator,1,10,2,0,10.00,0.200000,0.0000,10,10,4.00
UC8GcfkvCu-wQqLq2l8Xzi-Q,피부과 전문의 장훈영,hospital_clinic,1,10,2,0,10.00,0.200000,0.0000,10,10,103.00
UCwCUjIF-WjhvWQXxBq2ogJA,행성🩷,creator,1,10,0,0,10.00,0.000000,1.0000,10,10,377.00
UCY47_qE8s2tw_DIb5ukv3XA,렝포,creator,1,9,0,0,9.00,0.000000,1.0000,9,9,24.00
UCZ2DUss2KDvnetm1AkAIpTA,리뷰뱅크,creator,2,9,0,2,4.50,0.222222,0.0000,4.5,7.3,280.00
UC_Sf53Pgp2-nlbtOz0sdt2A,AirtPopcorn,creator,1,9,0,0,9.00,0.000000,0.0000,9,9,1.00
UCWYOodKKUq8tw8XNh4K3T1A,쑹리🍭,creator,1,9,0,0,9.00,0.000000,1.0000,9,9,2.00
UCJW0Ru3lGzrzHZYBsdk6IwA,솔직한리뷰,creator,1,8,0,1,8.00,0.125000,0.0000,8,8,123.00
UC5BAkLeP9jRFyKD0qHb3jsw,하은,creator,1,8,0,0,8.00,0.000000,0.0000,8,8,0.00
UCNJ3WBjQhno5fc0FWerXfkA,퉁이레빗TV,creator,1,8,1,0,8.00,0.125000,0.0000,8,8,57.00
UC3TI2_CZLxT_99A6aZ5FEag,브이로욁,creator,1,7,2,0,7.00,0.285714,0.0000,7,7,6.00
UCwl_a9MtUCjgrP77yZxNooQ,똥꿍 부부,creator,1,7,0,0,7.00,0.000000,0.0000,7,7,4.00
UCv7Wa7sO4y43mne0TQpUFAA,이즈🍥,creator,1,7,4,0,7.00,0.571429,1.0000,7,7,38.00
UC5ArTAm6WzwW75uStrT3oTg,득템이랑,creator,3,7,0,3,2.33,0.428571,0.0000,0,5.6000000000000005,0.00
UCWtTiCuuHzNNId27PzjOTIg,그때그쇼츠,creator,1,7,0,0,7.00,0.000000,1.0000,7,7,1.00
UC0HSa8KFk55kEhd4pDSbd4A,닥터 아르,hospital_clinic,3,6,0,0,2.00,0.000000,0.0000,2,3.6,0.00
UCLp8H_Gp3YH4u8NbmHK5XMQ,젤리,creator,1,6,0,0,6.00,0.000000,1.0000,6,6,8.00
UCV66KcPkT9TjNv3dwP_AWWA,한울즈,creator,1,6,1,0,6.00,0.166667,1.0000,6,6,45.00
UC1xYbH3PENU_NEISEBGYP7A,잇뿌,creator,1,6,1,0,6.00,0.166667,0.0000,6,6,93.00
UCtsj-Y3EwtjpdTozmm0udLg,꿀떠기,creator,1,5,2,0,5.00,0.400000,1.0000,5,5,384.00
UCxAbbiqVKxhoVT6CvI5M9Qw,@안하똥💩,creator,1,5,1,0,5.00,0.200000,0.0000,5,5,30.00
