channelId,channelName,type,uploads,views,likes,comments,avg_views,er,shorts_ratio,median_views,p90_views,avg_subscribers
UCTiwiilZ0-ariTuT0doicAA,UCTiwiilZ0-ariTuT0doicAA,creator,2,1786,6,0,893.00,0.003359,1.0000,893,958.6,0.00
UC_pZP6iHxrqMpjfhp5su6Pw,UC_pZP6iHxrqMpjfhp5su6Pw,creator,2,1774,16,0,887.00,0.009019,1.0000,887,887,0.00
UCAqsyRG8VQGMOQM5Zx6wJeA,UCAqsyRG8VQGMOQM5Zx6wJeA,creator,2,1722,11,1,861.00,0.006969,1.0000,861,1197,0.00
UCwRiwU5tEFMYtP7eh6CjXaQ,UCwRiwU5tEFMYtP7eh6CjXaQ,creator,3,1710,7,0,570.00,0.004094,1.0000,498,683.6,0.00
UC08L1tO75kchsut-Jv5C2zA,UC08L1tO75kchsut-Jv5C2zA,hospital_clinic,4,1700,13,0,425.00,0.007647,1.0000,446,567,0.00
UCFd1S1ujbYrTpsBDvmn-YFw,UCFd1S1ujbYrTpsBDvmn-YFw,creator,2,1680,1,0,840.00,0.000595,1.0000,840,1253.6,0.00
UCZGMjgtQVYkrN8HmJqAsvmA,UCZGMjgtQVYkrN8HmJqAsvmA,hospital_clinic,1,1632,8,2,1632.00,0.006127,1.0000,1632,1632,0.00
UCMkJq3VQFIHe27WKfUgivzg,UCMkJq3VQFIHe27WKfUgivzg,creator,1,1610,9,0,1610.00,0.005590,1.0000,1610,1610,0.00
UCAX0aigEaMnMdOG2x5p0eOw,UCAX0aigEaMnMdOG2x5p0eOw,creator,3,1605,13,0,535.00,0.008100,0.3333,35,1235,0.00
UC2NZN9G-n-DgMANWMEj1Xdw,UC2NZN9G-n-DgMANWMEj1Xdw,creator,1,1589,11,0,1589.00,0.006923,1.0000,1589,1589,0.00
UChoU_Xt6lLvoSDcmhx8nFCQ,UChoU_Xt6lLvoSDcmhx8nFCQ,creator,4,1588,20,0,397.00,0.012594,0.5000,397,507,0.00
UCfw-pUuhkExkgqfobHxZPXA,UCfw-pUuhkExkgqfobHxZPXA,hospital_clinic,3,1541,24,2,513.67,0.016872,0.3333,573,714.6,0.00
UCR5R-Jk6ShznSQdNCMuCulA,UCR5R-Jk6ShznSQdNCMuCulA,hospital_clinic,1,1535,3,0,1535.00,0.001954,1.0000,1535,1535,0.00
UCpi3iP5MuL-OtoxrGNIOkoQ,UCpi3iP5MuL-OtoxrGNIOkoQ,creator,1,1514,20,0,1514.00,0.013210,1.0000,1514,1514,0.00
UC18Sm7HO1N6DMV8tGeS1vEw,UC18Sm7HO1N6DMV8tGeS1vEw,creator,1,1508,8,0,1508.00,0.005305,1.0000,1508,1508,0.00
UCmWYAvL0OudVKFDmmOSKFiQ,UCmWYAvL0OudVKFDmmOSKFiQ,creator,2,1479,3,0,739.50,0.002028,1.0000,739.5,1143.1,0.00
UCX8EK43-gbme5qhAqRE4jjQ,UCX8EK43-gbme5qhAqRE4jjQ,creator,1,1454,0,3,1454.00,0.002063,0.0000,1454,1454,0.00
UCY72jk3uDpkRkHFpIDcfaug,UCY72jk3uDpkRkHFpIDcfaug,creator,2,1430,5,0,715.00,0.003497,1.0000,715,1154.2,0.00
UCX4-YU-mPf2YEMNTCHDPYHw,UCX4-YU-mPf2YEMNTCHDPYHw,creator,1,1391,10,0,1391.00,0.007189,1.0000,1391,1391,0.00
